norm,epoch,test_accuracy
BN,1,0.4322333333333333
BN,2,0.5709000000000001
BN,3,0.6177
BN,4,0.6837
BN,5,0.7099666666666667
BN,6,0.7551333333333332
BN,7,0.7721666666666667
BN,8,0.7925333333333334
BN,9,0.7935333333333333
BN,10,0.8071999999999999
BN,11,0.8169333333333334
BN,12,0.8178666666666667
BN,13,0.8288333333333333
BN,14,0.8410000000000001
BN,15,0.8291666666666667
BN,16,0.8455333333333334
BN,17,0.8521333333333333
BN,18,0.8475333333333334
BN,19,0.8520333333333334
BN,20,0.8621333333333333
BN,21,0.8903
BN,22,0.8921666666666667
BN,23,0.8887666666666666
BN,24,0.8923666666666666
BN,25,0.8918666666666667
BN,26,0.8904333333333333
BN,27,0.8929
BN,28,0.8931333333333334
BN,29,0.8910333333333335
BN,30,0.8884333333333334
BN,31,0.8990666666666667
BN,32,0.9001666666666667
BN,33,0.8992
BN,34,0.9
BN,35,0.8997666666666667
BN,36,0.8993666666666668
BN,37,0.9001333333333333
BN,38,0.8991000000000001
BN,39,0.8981666666666666
BN,40,0.8987000000000002
BN,41,0.9005000000000001
BN,42,0.8999333333333334
BN,43,0.9003666666666668
BN,44,0.9007999999999999
BN,45,0.9012000000000001
BN,46,0.9008333333333333
BN,47,0.9003333333333333
BN,48,0.9002666666666667
BN,49,0.9007999999999999
BN,50,0.9006
GN,1,0.2316
GN,2,0.31960000000000005
GN,3,0.3252
GN,4,0.3838
GN,5,0.4454666666666667
GN,6,0.45693333333333336
GN,7,0.5112
GN,8,0.5458666666666666
GN,9,0.5689
GN,10,0.5860333333333334
GN,11,0.6133000000000001
GN,12,0.6451666666666667
GN,13,0.6547666666666667
GN,14,0.6940333333333334
GN,15,0.7004333333333334
GN,16,0.6808333333333333
GN,17,0.7215666666666666
GN,18,0.7442333333333334
GN,19,0.7410666666666668
GN,20,0.7700333333333335
GN,21,0.8111
GN,22,0.8198
GN,23,0.8155000000000001
GN,24,0.8178000000000001
GN,25,0.8159333333333333
GN,26,0.8271666666666667
GN,27,0.8262
GN,28,0.8249333333333334
GN,29,0.8250666666666667
GN,30,0.8346666666666666
GN,31,0.8506
GN,32,0.8470333333333334
GN,33,0.8512
GN,34,0.8527666666666667
GN,35,0.8484000000000002
GN,36,0.8489666666666666
GN,37,0.8489000000000001
GN,38,0.8532666666666667
GN,39,0.8530000000000001
GN,40,0.8499333333333333
GN,41,0.8586
GN,42,0.8566666666666668
GN,43,0.8583
GN,44,0.8592333333333334
GN,45,0.8566666666666668
GN,46,0.8573333333333334
GN,47,0.8599666666666667
GN,48,0.8618333333333333
GN,49,0.8605333333333333
GN,50,0.8598666666666667
